Station_ID ,Station_Name,Address,Latitude,Longitude,Total_Reviews,Open_24_Hours,Google_Maps_URL,Open_24_Hours,Decision_Score
ChIJOzOV7mQL04URdu25HFoftmA,BP,"Paseo Central, Centro, 76800 San Juan del Río, Qro., Mexico",20.3903271,-99.9845395,105,TRUE,https://www.google.com/maps/search/?api=1&query=BP&query_place_id=ChIJOzOV7mQL04URdu25HFoftmA,TRUE,78
ChIJfZNdjF4N04URqpQbIbzFXbc,Mobil La Estancia,"Autop. México - Querétaro km. 167.8, 76830 Santiago de Querétaro, Qro., Mexico",20.4174123,-100.0447238,484,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20La%20Estancia&query_place_id=ChIJfZNdjF4N04URqpQbIbzFXbc,TRUE,90
ChIJl3n6J3tt04URd3gaxhBINo4,OXXO GAS,"Queretaro - Ixmiquilpan 14, 76821 El Sauz, Qro., Mexico",20.454691,-100.089102,319,TRUE,https://www.google.com/maps/search/?api=1&query=OXXO%20GAS&query_place_id=ChIJl3n6J3tt04URd3gaxhBINo4,TRUE,88
ChIJQ58F8o2D04UR-SjtaBgIAhs,"Doña Gasolineria Pure, S.A. De C.V.","Federal No. 120 San Juan del Rio - Xilitla 5, Zona Centro, 76503 Cadereyta de Montes, Qro., Mexico",20.7018595,-99.8214643,232,TRUE,https://www.google.com/maps/search/?api=1&query=Do%C3%B1a%20Gasolineria%20Pure%2C%20S.A.%20De%20C.V.&query_place_id=ChIJQ58F8o2D04UR-SjtaBgIAhs,TRUE,83
ChIJoxaF7h9204URgn-rHXEiMBQ,bp,"Pueblo Ampliación Del Paraís, Mexican Federal Highway 120 23 San Juan Del Río, 76248 El Ciervo, Qro., Mexico",20.5459526,-99.9028251,148,TRUE,https://www.google.com/maps/search/?api=1&query=bp&query_place_id=ChIJoxaF7h9204URgn-rHXEiMBQ,TRUE,85
ChIJLelbCtOf04URNEijn_Y7fLc,TotalEnergies Centenario,"Carretera Jalpan-San Juan del Río Carretera Federal 120 Sjr, Federal 120 San Juan del Río-Xilitla 3, Poniente, 76750 Tequisquiapan, Qro., Mexico",20.5182649,-99.8988359,54,TRUE,https://www.google.com/maps/search/?api=1&query=TotalEnergies%20Centenario&query_place_id=ChIJLelbCtOf04URNEijn_Y7fLc,TRUE,77
ChIJswdU9NgM04URmBL1DYS_UAs,Pemex - 12315,"Nochebuena, 76820 Loma Linda, Qro., Mexico",20.4068235,-100.0343716,494,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex%20-%2012315&query_place_id=ChIJswdU9NgM04URmBL1DYS_UAs,TRUE,90
ChIJV-lmOHsL04UR84N9BBOj92U,Mobil Avenida Central,"Av Río Moctezuma no 1, Z/O Secc 8, San Cayetano, 76806 San Juan del Río, Qro., Mexico",20.388382,-99.984212,280,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20Avenida%20Central&query_place_id=ChIJV-lmOHsL04UR84N9BBOj92U,TRUE,87
ChIJxznk7XZt04URuftkJrvn4YA,Pemex Gasolinera,"San Juan del Río-Pedro Escobedo 177, 76729 El Sauz, Qro., Mexico",20.461568,-100.0958025,508,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex%20Gasolinera&query_place_id=ChIJxznk7XZt04URuftkJrvn4YA,TRUE,88
ChIJ91SugWEL04URz6cCirm8VV4,Mobil,"C. Constituyentes 27, Villa los Olivos, 76800 San Juan del Río, Qro., Mexico",20.3951597,-99.9885709,185,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil&query_place_id=ChIJ91SugWEL04URz6cCirm8VV4,TRUE,84
ChIJpU14C7YN04URYI0BIsSKYtw,Pemex,"Blvrd Pablo Cabrera 54, Centro, 76800 San Juan del Río, Qro., Mexico",20.3957721,-99.9926156,193,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJpU14C7YN04URYI0BIsSKYtw,TRUE,86
